-0.961966, 0.002201; -0.618767, 0.165795; 0.281173, -0.104172; -0.512964, 0.000000; 0.827494, 0.000000; -0.652007, 0.000000; 
-0.961940, 0.005135; -0.617854, 0.182668; 0.280597, -0.115176; -0.512957, 0.001453; 0.827494, 0.000000; -0.652007, 0.0000
-0.961849, 0.018340; -0.616684, 0.234020; 0.279940, -0.131315; -0.512957, 0.000000; 0.827494, 0.000000; -0.652007, 0.000000; 
-0.961702, 0.029344; -0.615645, 0.207610; 0.279412, -0.105639; -0.512957, 0.000000; 0.827494, 0.000000; -0.652007, 0.000000; 
-0.961511, 0.038147; -0.614633, 0.202475; 0.278965, -0.089500; -0.512957, 0.000000; 0.827501, 0.001453; -0.652007, 0.000000; 
-0.961320, 0.038147; -0.613720, 0.182668; 0.278550, -0.082897; -0.512957, 0.000000; 0.827501, 0.000000; -0.652007, 0.000000; 
-0.961155, 0.033012; -0.612781, 0.187803; 0.278143, -0.081430; -0.512957, 0.000000; 0.827508, 0.001453; -0.652007, 0.000000; 
-0.961012, 0.028611; -0.611743, 0.207610; 0.277703, -0.088033; -0.512957, 0.000000; 0.827508, 0.000000; -0.652007, 0.000000; 
-0.960877, 0.027143; -0.610547, 0.239155; 0.277204, -0.099770; -0.512957, 0.000000; 0.827508, 0.000000; -0.652007, 0.000000; 
-0.960693, 0.036680; -0.609237, 0.261897; 0.276709, -0.099037; -0.512957, 0.000000; 0.827516, 0.001453; -0.652007, 0.000000; 
-0.960444, 0.049885; -0.607983, 0.250893; 0.276214, -0.099037; -0.512957, 0.000000; 0.827516, 0.000000; -0.652007, 0.000000; 
-0.960125, 0.063824; -0.606817, 0.233287; 0.275737, -0.095369; -0.512957, 0.000000; 0.827516, 0.000000; -0.652007, 0.000000; 
-0.959773, 0.070426; -0.605764, 0.210545; 0.275271, -0.093168; -0.512950, 0.001453; 0.827516, 0.000000; -0.652007, 0.000000; 
-0.959391, 0.076295; -0.604660, 0.220815; 0.274754, -0.103438; -0.512942, 0.001453; 0.827516, 0.000000; -0.652007, 0.000000; 
-0.959010, 0.076295; -0.603427, 0.246492; 0.274233, -0.104172; -0.512942, 0.000000; 0.827516, 0.000000; -0.652007, 0.000000; 
-0.958621, 0.077762; -0.602129, 0.259696; 0.273734, -0.099770; -0.512942, 0.000000; 0.827516, 0.000000; -0.652007, 0.000000; 
-0.958221, 0.079963; -0.600764, 0.272901; 0.273275, -0.091701; -0.512935, 0.001453; 0.827516, 0.000000; -0.652007, 0.000000; 
-0.957740, 0.096102; -0.599425, 0.267766; 0.272828, -0.089500; -0.512913, 0.004358; 0.827516, 0.000000; -0.652007, 0.000000; 
-0.957242, 0.099770; -0.598061, 0.272901; 0.272388, -0.088033; -0.512841, 0.014528; 0.827516, 0.000000; -0.652007, 0.000000; 
-0.956706, 0.107106; -0.596675, 0.277303; 0.271959, -0.085832; -0.512826, 0.002906; 0.827523, 0.001453; -0.652007, 0.000000; 
-0.956138, 0.113709; -0.595284, 0.278036; 0.271526, -0.086565; -0.512826, 0.000000; 0.827523, 0.000000; -0.652007, 0.000000; 
-0.955543, 0.118844; -0.593879, 0.280971; 0.271038, -0.097570; -0.512804, 0.004358; 0.827523, 0.000000; -0.652007, 0.000000; 
-0.954923, 0.123979; -0.592387, 0.298577; 0.270455, -0.116643; -0.512739, 0.013075; 0.827523, 0.000000; -0.652007, 0.000000; 
-0.954285, 0.127647; -0.590820, 0.313250; 0.269794, -0.132049; -0.512477, 0.052302; 0.827523, 0.000000; -0.652007, 0.000000; 
-0.953621, 0.132783; -0.589203, 0.323520; 0.269109, -0.137184; -0.511969, 0.101698; 0.827523, 0.000000; -0.652007, 0.000000; 
-0.952910, 0.142319; -0.587725, 0.295643; 0.268426, -0.136451; -0.511439, 0.106056; 0.827523, 0.000000; -0.652007, 0.000000; 
-0.952125, 0.156992; -0.586246, 0.295643; 0.267755, -0.134250; -0.510872, 0.113320; 0.827523, 0.000000; -0.652007, 0.000000; 
-0.951307, 0.163594; -0.584687, 0.311782; 0.267095, -0.132049; -0.510160, 0.142377; 0.827523, 0.000000; -0.652007, 0.000000; 
-0.950540, 0.153324; -0.583015, 0.334524; 0.266427, -0.133516; -0.509572, 0.117679; 0.827530, 0.001453; -0.652007, 0.000000; 
-0.949843, 0.139385; -0.581309, 0.341127; 0.265807, -0.123979; -0.509245, 0.065377; 0.827545, 0.002906; -0.652007, 0.000000; 
-0.949121, 0.144520; -0.579545, 0.352864; 0.265165, -0.128381; -0.509172, 0.014528; 0.827552, 0.001453; -0.652007, 0.000000; 
-0.948361, 0.151856; -0.577707, 0.367536; 0.264491, -0.134983; -0.509187, -0.002906; 0.827559, 0.001453; -0.652007, 0.000000; 
-0.947518, 0.168729; -0.575884, 0.364602; 0.263838, -0.130582; -0.509201, -0.002906; 0.827574, 0.002906; -0.652007, 0.000000; 
